Num_items,Itemset,Support
1,"(""'Nghề nghiệp=9.0'"",)",0.4
1,"(""'Số năm kinh nghiệm=20.0'"",)",0.1
1,"(""'TỈNH=Quảng Ninh'"",)",0.1
1,"(""'Số năm kinh nghiệm=5.0'"",)",0.1
1,"(""'Loại hợp đồng=4.0'"",)",0.2
1,"(""'Nguồn doanh thu chính=nan'"",)",0.1
1,"(""'Phân lớp doanh thu=nan'"",)",0.2
1,"(""'TỈNH=Cà Mau'"",)",0.1
1,"(""'Loại hình cư trú=1.0'"",)",0.3
1,"(""'Số người phụ thuộc=1.0'"",)",0.1
1,"(""'Phân lớp khoản vay=13-24'"",)",0.2
1,"(""'Mức thanh khoản=5.0'"",)",0.2
1,"(""'Tình trạng tín dụng=Tốt'"",)",0.6
1,"(""'Mức vay=4.0'"",)",0.1
1,"(""'Phân lớp doanh thu=Cao'"",)",0.7
1,"(""'Mục đích vay=1.0'"",)",0.7
1,"(""'Phân lớp tuổi=Gen Z'"",)",0.2
1,"(""'Phân lớp tuổi=nan'"",)",0.2
1,"(""'Số năm kinh nghiệm=1.0'"",)",0.1
1,"(""'Trình độ học vấn=1.0'"",)",0.6
1,"(""'Phân lớp khoản vay=25-36'"",)",0.8
1,"(""'Số người phụ thuộc=nan'"",)",0.1
1,"(""'Số người phụ thuộc=2.0'"",)",0.1
1,"(""'Nguồn doanh thu chính=1.0'"",)",0.2
1,"(""'Khoản_vay_bin=nan'"",)",0.1
1,"(""'Loại hình cư trú=0.0'"",)",0.3
1,"(""'Số năm kinh nghiệm=6.0'"",)",0.1
1,"(""'TỈNH=Hồ Chí Minh'"",)",0.1
1,"(""'Nguồn doanh thu chính=5.0'"",)",0.6
1,"(""'TỈNH=Thanh Hóa'"",)",0.1
1,"(""'Phân lớp doanh thu=Trung bình cao'"",)",0.1
1,"(""'Tình trạng tín dụng=Xấu'"",)",0.4
1,"(""'TỈNH=Quảng Ngãi'"",)",0.1
1,"(""'Trình độ học vấn=2.0'"",)",0.3
1,"(""'Mức thanh khoản=2.0'"",)",0.1
1,"(""'Mức thanh khoản=1.0'"",)",0.3
1,"(""'Hình thức vay=2.0'"",)",0.2
1,"(""'Số năm kinh nghiệm=2.0'"",)",0.1
1,"(""'Tình trạng hôn nhân=nan'"",)",0.4
1,"(""'Số năm kinh nghiệm=12.0'"",)",0.1
1,"(""'Tình trạng hôn nhân=0.0'"",)",0.1
1,"(""'Tình trạng hôn nhân=2.0'"",)",0.4
1,"(""'Phân lớp tuổi=Gen X'"",)",0.2
1,"(""'TỈNH=Bắc Ninh'"",)",0.1
1,"(""'Nghề nghiệp=nan'"",)",0.2
1,"(""'Phân lớp tuổi=Gen Y'"",)",0.4
1,"(""'Mức thanh khoản=nan'"",)",0.2
1,"(""'Mục đích vay=6.0'"",)",0.3
1,"(""'Loại hợp đồng=nan'"",)",0.1
1,"(""'Mức vay=3.0'"",)",0.1
1,"(""'Trình độ học vấn=3.0'"",)",0.1
1,"(""'TỈNH=nan'"",)",0.1
1,"(""'Mức vay=1.0'"",)",0.2
1,"(""'TỈNH=Trà Vinh'"",)",0.1
1,"(""'Hình thức vay=nan'"",)",0.3
